1,45,CPU:40,IO:27,IO:43,CPU:35,IO:34,CPU:34,CPU:26,CPU:38,CPU:49
2,25,CPU:32,CPU:49,IO:31,IO:40,IO:41,CPU:45,IO:25,IO:44,IO:48
3,42,CPU:38,IO:43,CPU:33,CPU:28,CPU:33,IO:43,CPU:38,CPU:31,CPU:26
4,37,CPU:46,IO:37,CPU:30,CPU:34,CPU:47,IO:29,IO:32,CPU:36,IO:45
5,26,CPU:31,IO:46,IO:41,CPU:35,CPU:46,CPU:41,IO:33,IO:44,CPU:28
6,28,CPU:29,CPU:42,IO:26,CPU:32,CPU:49,IO:30,IO:44,IO:34,CPU:26
7,31,CPU:41,CPU:29,CPU:48,CPU:30,IO:38,CPU:36,IO:42,CPU:48,CPU:42
8,40,CPU:33,IO:44,IO:37,CPU:28,IO:47,CPU:40,CPU:31,CPU:39,IO:40
9,26,CPU:48,IO:32,IO:35,CPU:39,CPU:47,CPU:27,CPU:43,CPU:48,IO:46
10,36,CPU:37,IO:39,IO:31,CPU:31,CPU:33,IO:25,CPU:47,CPU:35,IO:34
11,48,CPU:33,IO:29,IO:29,CPU:34,IO:36,IO:36,CPU:26,IO:31,CPU:26
12,43,CPU:37,CPU:36,IO:33,CPU:43,CPU:49,IO:38,IO:43,IO:26,CPU:35
13,26,CPU:31,IO:42,CPU:37,IO:46,IO:38,CPU:36,IO:26,IO:27,IO:34
14,32,CPU:36,CPU:36,IO:49,CPU:37,IO:28,IO:49,IO:27,CPU:27,CPU:46
15,31,CPU:26,CPU:39,IO:26,IO:46,IO:39,CPU:37,IO:46,CPU:37,IO:38
16,25,CPU:40,CPU:45,IO:39,IO:35,CPU:38,IO:26,CPU:35,IO:48,IO:41
17,48,CPU:42,IO:33,IO:48,CPU:40,CPU:33,CPU:42,IO:27,CPU:37,CPU:39
18,34,CPU:36,IO:46,IO:36,IO:31,IO:37,CPU:26,IO:45,CPU:34,IO:26
19,49,CPU:41,IO:38,CPU:47,IO:33,CPU:40,IO:45,IO:47,CPU:32,IO:34
20,28,CPU:27,IO:28,IO:34,CPU:48,CPU:49,IO:40,IO:39,IO:31,IO:35
21,40,CPU:45,CPU:40,CPU:39,CPU:27,IO:27,IO:30,IO:32,CPU:40,CPU:36
22,32,CPU:46,CPU:39,IO:36,CPU:38,IO:35,IO:25,CPU:37,CPU:47,IO:43
23,33,CPU:38,IO:29,IO:38,IO:47,CPU:30,CPU:35,CPU:26,CPU:27,IO:42
24,34,CPU:26,CPU:39,CPU:44,CPU:25,CPU:42,IO:31,IO:46,IO:38,CPU:43
25,42,CPU:27,CPU:38,IO:40,CPU:30,CPU:29,CPU:47,IO:28,IO:42,IO:39
26,35,CPU:43,CPU:49,CPU:41,CPU:49,CPU:47,CPU:34,IO:45,IO:39,CPU:46
27,38,CPU:46,CPU:41,CPU:48,CPU:45,IO:31,CPU:42,IO:29,CPU:26,CPU:38
28,33,CPU:42,IO:37,CPU:47,IO:35,IO:47,CPU:31,CPU:27,IO:41,CPU:41
29,34,CPU:43,CPU:36,IO:33,IO:28,IO:33,CPU:30,CPU:42,IO:30,CPU:42
30,47,CPU:26,IO:32,CPU:46,CPU:39,CPU:41,CPU:47,IO:26,CPU:42,IO:33
31,26,CPU:47,CPU:39,IO:25,IO:30,CPU:41,IO:42,IO:48,IO:25,IO:27
32,48,CPU:27,IO:40,CPU:48,IO:26,CPU:26,CPU:26,CPU:33,CPU:33,CPU:33
33,38,CPU:33,CPU:42,CPU:47,IO:35,IO:43,CPU:29,CPU:48,CPU:48,IO:39
34,42,CPU:35,IO:30,IO:42,IO:46,IO:29,CPU:37,IO:30,IO:38,CPU:35
35,44,CPU:30,IO:43,CPU:48,CPU:29,IO:46,CPU:35,IO:30,IO:36,IO:42
36,45,CPU:32,IO:40,IO:38,CPU:34,IO:30,CPU:47,CPU:37,CPU:46,CPU:38
37,46,CPU:49,CPU:39,CPU:37,IO:28,IO:35,CPU:30,IO:29,IO:26,IO:30
38,44,CPU:29,IO:29,IO:41,IO:49,CPU:26,CPU:37,IO:47,CPU:27,IO:41
39,33,CPU:31,CPU:29,IO:39,IO:40,IO:43,CPU:48,CPU:32,IO:30,CPU:49
40,49,CPU:41,CPU:43,IO:25,CPU:41,IO:32,CPU:38,CPU:45,IO:47,IO:35
41,48,CPU:40,CPU:49,CPU:27,IO:31,IO:29,IO:28,IO:43,IO:27,CPU:49
42,34,CPU:39,IO:31,IO:31,IO:35,CPU:35,IO:38,CPU:35,IO:35,CPU:36
43,43,CPU:25,CPU:29,CPU:33,CPU:30,IO:38,IO:42,IO:26,IO:39,IO:29
44,43,CPU:42,IO:25,CPU:26,IO:31,IO:28,IO:33,IO:31,CPU:33,CPU:26
45,44,CPU:30,IO:34,IO:38,CPU:33,IO:35,IO:38,IO:45,IO:35,IO:40
46,40,CPU:43,IO:28,CPU:45,IO:30,CPU:39,IO:33,CPU:34,IO:41,IO:32
47,41,CPU:33,IO:33,IO:43,CPU:37,IO:27,CPU:49,CPU:29,IO:45,IO:41
48,28,CPU:41,IO:41,IO:41,CPU:44,CPU:36,CPU:32,IO:28,CPU:39,IO:33
